Company,First Meeting Date,Deal Stage
Upland Partners,2026-06-04,Qualified
Vireo Holdings,2026-03-28,Qualified
Kingsley Holdings,2026-06-13,Proposal
Quartz Inc,2026-07-28,Qualified
Umbrella Systems,2026-04-18,Discovery
Westbrook Networks,2026-05-17,Closed Won
Highmark Holdings,2026-04-19,Closed Won
Foundry Systems,2026-04-28,Proposal
Summit Solutions,2026-02-03,Qualified
Riverton Solutions,2026-02-01,Discovery
Landmark Systems,2026-02-27,Qualified
Questline Corp,2026-06-20,Proposal
Longview Networks,2026-06-03,Qualified
Nightingale Inc,2026-03-17,Qualified
Delta Holdings,2026-06-15,Discovery
Stellar Systems,2026-02-23,Discovery
Prairie Technologies,2026-03-13,Proposal
Vantage Partners,2026-03-14,Proposal
Acme Partners,2026-03-18,Discovery
Solstice Holdings,2026-05-05,Closed Won
Gatepost Solutions,2026-07-04,Proposal
Openfield Systems,2026-01-27,Discovery
